LTER.site,Locale,Species.code,Year,Abundance
CedarCreek,4,Aeropedellus clavatus,1989,2
CedarCreek,4,Aeropedellus clavatus,1990,1
CedarCreek,4,Aeropedellus clavatus,1994,1
CedarCreek,4,Aeropedellus clavatus,1995,1
CedarCreek,4,Aeropedellus clavatus,1996,2
CedarCreek,4,Aeropedellus clavatus,1997,4.5
CedarCreek,4,Aeropedellus clavatus,1998,1
CedarCreek,4,Aeropedellus clavatus,1999,1
CedarCreek,4,Aeropedellus clavatus,2000,1
CedarCreek,4,Aeropedellus clavatus,2001,1
CedarCreek,4,Aeropedellus clavatus,2002,1
CedarCreek,4,Aeropedellus clavatus,2003,1
CedarCreek,4,Aeropedellus clavatus,2004,1
CedarCreek,4,Arphia pseudonietana,1989,4.25
CedarCreek,4,Arphia pseudonietana,1990,5.75
CedarCreek,4,Arphia pseudonietana,1991,2.75
CedarCreek,4,Arphia pseudonietana,1992,2.75
CedarCreek,4,Arphia pseudonietana,1993,1.5
CedarCreek,4,Arphia pseudonietana,1994,1.66666666666667
CedarCreek,4,Arphia pseudonietana,1995,1.33333333333333
CedarCreek,4,Arphia pseudonietana,1996,1
CedarCreek,4,Arphia pseudonietana,1997,3
CedarCreek,4,Arphia pseudonietana,1998,2
CedarCreek,4,Arphia pseudonietana,2000,1
CedarCreek,4,Arphia pseudonietana,2001,1
CedarCreek,4,Arphia pseudonietana,2002,2
CedarCreek,4,Arphia pseudonietana,2006,1
CedarCreek,4,Melanoplus confusus,1989,2
CedarCreek,4,Melanoplus confusus,1990,5
CedarCreek,4,Melanoplus confusus,1991,3
CedarCreek,4,Melanoplus confusus,1992,2
CedarCreek,4,Melanoplus confusus,1993,1
CedarCreek,4,Melanoplus confusus,1994,1
CedarCreek,4,Melanoplus confusus,1997,1
CedarCreek,4,Melanoplus confusus,1998,1
CedarCreek,4,Melanoplus sanguinipes,1989,314
CedarCreek,4,Melanoplus sanguinipes,1990,281.5
CedarCreek,4,Melanoplus sanguinipes,1991,117
CedarCreek,4,Melanoplus sanguinipes,1992,52.25
CedarCreek,4,Melanoplus sanguinipes,1993,11.5
CedarCreek,4,Melanoplus sanguinipes,1994,9
CedarCreek,4,Melanoplus sanguinipes,1995,11.6666666666667
CedarCreek,4,Melanoplus sanguinipes,1996,7.5
CedarCreek,4,Melanoplus sanguinipes,1997,6.75
CedarCreek,4,Melanoplus sanguinipes,1998,4
CedarCreek,4,Melanoplus sanguinipes,1999,1
CedarCreek,4,Melanoplus sanguinipes,2000,2
CedarCreek,4,Melanoplus sanguinipes,2002,1
CedarCreek,4,Melanoplus undet,1989,75
CedarCreek,4,Melanoplus undet,1990,98
CedarCreek,4,Melanoplus undet,1991,196
CedarCreek,4,Spharagemon collare,1989,2.25
CedarCreek,4,Spharagemon collare,1990,2.66666666666667
CedarCreek,4,Spharagemon collare,1991,1.5
CedarCreek,4,Spharagemon collare,1992,1
CedarCreek,4,Spharagemon collare,1993,2
CedarCreek,4,Spharagemon collare,1994,1
CedarCreek,4,Spharagemon collare,1997,3
CedarCreek,4,Spharagemon collare,1999,3
CedarCreek,4,Spharagemon collare,2000,1
CedarCreek,4,Spharagemon collare,2005,1
CedarCreek,4,Ageneotettix deorum,1989,1
CedarCreek,4,Ageneotettix deorum,1990,3
CedarCreek,4,Ageneotettix deorum,1991,2.5
CedarCreek,4,Ageneotettix deorum,1992,2.33333333333333
CedarCreek,4,Ageneotettix deorum,1993,1
CedarCreek,4,Ageneotettix deorum,1998,1
CedarCreek,4,Ageneotettix deorum,2006,1
CedarCreek,4,Melanoplus femurrubrum,1989,53.3333333333333
CedarCreek,4,Melanoplus femurrubrum,1990,52.3333333333333
CedarCreek,4,Melanoplus femurrubrum,1991,29.3333333333333
CedarCreek,4,Melanoplus femurrubrum,1992,24.25
CedarCreek,4,Melanoplus femurrubrum,1993,5.25
CedarCreek,4,Melanoplus femurrubrum,1994,19.25
CedarCreek,4,Melanoplus femurrubrum,1995,32.25
CedarCreek,4,Melanoplus femurrubrum,1996,33.25
CedarCreek,4,Melanoplus femurrubrum,1997,13.25
CedarCreek,4,Melanoplus femurrubrum,1998,3.75
CedarCreek,4,Melanoplus femurrubrum,1999,3.66666666666667
CedarCreek,4,Melanoplus femurrubrum,2000,4.25
CedarCreek,4,Melanoplus femurrubrum,2001,14.75
CedarCreek,4,Melanoplus femurrubrum,2002,39.3333333333333
CedarCreek,4,Melanoplus femurrubrum,2003,22.5
CedarCreek,4,Melanoplus femurrubrum,2004,12.3333333333333
CedarCreek,4,Melanoplus femurrubrum,2005,6.33333333333333
CedarCreek,4,Melanoplus femurrubrum,2006,23
CedarCreek,4,Orphulella speciosa,1989,1
CedarCreek,4,Orphulella speciosa,1990,2.5
CedarCreek,4,Orphulella speciosa,1991,4
CedarCreek,4,Orphulella speciosa,1992,7
CedarCreek,4,Orphulella speciosa,1993,3.66666666666667
CedarCreek,4,Orphulella speciosa,1994,3.33333333333333
