LTER.site	Species.code	Year	Abundance	Method	Dataset
Arctic	RHYAC	1984	0	NA	StreamInsects
Arctic	BRACHY	1984	8.125	NA	StreamInsects
Arctic	NATARSIA	1984	0	NA	StreamInsects
Arctic	ORTHO	1984	29.75	NA	StreamInsects
Arctic	OTHCHIR	1984	0	NA	StreamInsects
Arctic	CHIPUPA	1984	0	NA	StreamInsects
Arctic	BLACK	1984	32.7916666666667	NA	StreamInsects
Arctic	BLKPUPA	1984	0	NA	StreamInsects
Arctic	BAETIS	1984	13.625	NA	StreamInsects
Arctic	BAETSP3	1984	0	NA	StreamInsects
Arctic	EPHEM	1984	0	NA	StreamInsects
Arctic	CINYG	1984	0	NA	StreamInsects
Arctic	NEMOURA	1984	0	NA	StreamInsects
Arctic	TIPULA	1984	0	NA	StreamInsects
Arctic	RHYAC	1985	0.21875	NA	StreamInsects
Arctic	BRACHY	1985	11.84375	NA	StreamInsects
Arctic	NATARSIA	1985	0	NA	StreamInsects
Arctic	ORTHO	1985	34.71875	NA	StreamInsects
Arctic	OTHCHIR	1985	40	NA	StreamInsects
Arctic	CHIPUPA	1985	0	NA	StreamInsects
Arctic	BLACK	1985	387.15625	NA	StreamInsects
Arctic	BLKPUPA	1985	0	NA	StreamInsects
Arctic	BAETIS	1985	130.8125	NA	StreamInsects
Arctic	BAETSP3	1985	0	NA	StreamInsects
Arctic	EPHEM	1985	1.1875	NA	StreamInsects
Arctic	CINYG	1985	0.875	NA	StreamInsects
Arctic	NEMOURA	1985	1.0625	NA	StreamInsects
Arctic	TIPULA	1985	0	NA	StreamInsects
Arctic	RHYAC	1986	0.166666666666667	NA	StreamInsects
Arctic	BRACHY	1986	9.96666666666667	NA	StreamInsects
Arctic	NATARSIA	1986	0	NA	StreamInsects
Arctic	ORTHO	1986	28.0666666666667	NA	StreamInsects
Arctic	OTHCHIR	1986	0	NA	StreamInsects
Arctic	CHIPUPA	1986	0	NA	StreamInsects
Arctic	BLACK	1986	355.3	NA	StreamInsects
Arctic	BLKPUPA	1986	0	NA	StreamInsects
Arctic	BAETIS	1986	287.3	NA	StreamInsects
Arctic	BAETSP3	1986	0	NA	StreamInsects
Arctic	EPHEM	1986	0.866666666666667	NA	StreamInsects
Arctic	CINYG	1986	1.36666666666667	NA	StreamInsects
Arctic	NEMOURA	1986	0.3	NA	StreamInsects
Arctic	TIPULA	1986	0	NA	StreamInsects
Arctic	RHYAC	1987	0.114285714285714	NA	StreamInsects
Arctic	BRACHY	1987	5.17142857142857	NA	StreamInsects
Arctic	NATARSIA	1987	0.0571428571428571	NA	StreamInsects
Arctic	ORTHO	1987	22.5714285714286	NA	StreamInsects
Arctic	OTHCHIR	1987	155.371428571429	NA	StreamInsects
Arctic	CHIPUPA	1987	0.742857142857143	NA	StreamInsects
Arctic	BLACK	1987	82.5428571428571	NA	StreamInsects
Arctic	BLKPUPA	1987	0.971428571428571	NA	StreamInsects
Arctic	BAETIS	1987	144.685714285714	NA	StreamInsects
Arctic	BAETSP3	1987	0.0857142857142857	NA	StreamInsects
Arctic	EPHEM	1987	2	NA	StreamInsects
Arctic	CINYG	1987	0.628571428571429	NA	StreamInsects
Arctic	NEMOURA	1987	0.0857142857142857	NA	StreamInsects
Arctic	TIPULA	1987	0	NA	StreamInsects
Arctic	RHYAC	1988	0.0769230769230769	NA	StreamInsects
Arctic	BRACHY	1988	15.3589743589744	NA	StreamInsects
Arctic	NATARSIA	1988	0	NA	StreamInsects
Arctic	ORTHO	1988	21.025641025641	NA	StreamInsects
Arctic	OTHCHIR	1988	329.333333333333	NA	StreamInsects
Arctic	CHIPUPA	1988	0	NA	StreamInsects
Arctic	BLACK	1988	383.615384615385	NA	StreamInsects
Arctic	BLKPUPA	1988	0	NA	StreamInsects
Arctic	BAETIS	1988	239.794871794872	NA	StreamInsects
Arctic	BAETSP3	1988	0	NA	StreamInsects
Arctic	EPHEM	1988	1.38461538461538	NA	StreamInsects
Arctic	CINYG	1988	1.15384615384615	NA	StreamInsects
Arctic	NEMOURA	1988	0.0769230769230769	NA	StreamInsects
Arctic	TIPULA	1988	0	NA	StreamInsects
Arctic	RHYAC	1993	1	NA	StreamInsects
Arctic	BRACHY	1993	4.125	NA	StreamInsects
Arctic	NATARSIA	1993	2.125	NA	StreamInsects
Arctic	ORTHO	1993	0.625	NA	StreamInsects
Arctic	OTHCHIR	1993	299.125	NA	StreamInsects
Arctic	CHIPUPA	1993	1.125	NA	StreamInsects
Arctic	BLACK	1993	239.125	NA	StreamInsects
Arctic	BLKPUPA	1993	1.25	NA	StreamInsects
Arctic	BAETIS	1993	45.75	NA	StreamInsects
Arctic	BAETSP3	1993	0.125	NA	StreamInsects
Arctic	EPHEM	1993	10	NA	StreamInsects
Arctic	CINYG	1993	2.375	NA	StreamInsects
Arctic	NEMOURA	1993	0	NA	StreamInsects
Arctic	TIPULA	1993	0	NA	StreamInsects
Arctic	RHYAC	1994	2.75	NA	StreamInsects
Arctic	BRACHY	1994	7.25	NA	StreamInsects
Arctic	NATARSIA	1994	3.25	NA	StreamInsects
Arctic	ORTHO	1994	0	NA	StreamInsects
Arctic	OTHCHIR	1994	480.5	NA	StreamInsects
Arctic	CHIPUPA	1994	11.25	NA	StreamInsects
Arctic	BLACK	1994	84.75	NA	StreamInsects
Arctic	BLKPUPA	1994	1.75	NA	StreamInsects
Arctic	BAETIS	1994	0.5	NA	StreamInsects
Arctic	BAETSP3	1994	0	NA	StreamInsects
Arctic	EPHEM	1994	11.25	NA	StreamInsects
Arctic	CINYG	1994	0.5	NA	StreamInsects
Arctic	NEMOURA	1994	0	NA	StreamInsects
Arctic	TIPULA	1994	1.25	NA	StreamInsects
Arctic	RHYAC	1996	1.33333333333333	NA	StreamInsects
Arctic	BRACHY	1996	11.3333333333333	NA	StreamInsects
Arctic	NATARSIA	1996	2.05555555555556	NA	StreamInsects
Arctic	ORTHO	1996	2.11111111111111	NA	StreamInsects
Arctic	OTHCHIR	1996	3394.38888888889	NA	StreamInsects
Arctic	CHIPUPA	1996	34.7222222222222	NA	StreamInsects
Arctic	BLACK	1996	449.388888888889	NA	StreamInsects
Arctic	BLKPUPA	1996	16.8888888888889	NA	StreamInsects
Arctic	BAETIS	1996	65.6666666666667	NA	StreamInsects
Arctic	BAETSP3	1996	1.11111111111111	NA	StreamInsects
Arctic	EPHEM	1996	64.3888888888889	NA	StreamInsects
Arctic	CINYG	1996	0.666666666666667	NA	StreamInsects
Arctic	NEMOURA	1996	1.83333333333333	NA	StreamInsects
Arctic	TIPULA	1996	0.722222222222222	NA	StreamInsects
Arctic	RHYAC	1997	0	NA	StreamInsects
Arctic	BRACHY	1997	6	NA	StreamInsects
Arctic	NATARSIA	1997	0.333333333333333	NA	StreamInsects
Arctic	ORTHO	1997	5.44444444444444	NA	StreamInsects
Arctic	OTHCHIR	1997	936	NA	StreamInsects
Arctic	CHIPUPA	1997	3.88888888888889	NA	StreamInsects
Arctic	BLACK	1997	118.888888888889	NA	StreamInsects
Arctic	BLKPUPA	1997	4.11111111111111	NA	StreamInsects
Arctic	BAETIS	1997	27.4444444444444	NA	StreamInsects
Arctic	BAETSP3	1997	2.44444444444444	NA	StreamInsects
