LTER	Dataset	Species	Abundance.trend
Arctic	StreamInsects	BAETIS	-0.802222555876577
Arctic	StreamInsects	BAETSP3	2.67813637751303
Arctic	StreamInsects	BLACK	-0.135392231585248
Arctic	StreamInsects	BLKPUPA	1.76341775884835
Arctic	StreamInsects	BRACHY	-0.142219560759273
Arctic	StreamInsects	CHIPUPA	2.13299965324455
Arctic	StreamInsects	CINYG	2.83192319945887
Arctic	StreamInsects	EPHEM	2.58862828317311
Arctic	StreamInsects	NATARSIA	2.5816806475784
Arctic	StreamInsects	NEMOURA	1.74799537814039
Arctic	StreamInsects	ORTHO	-2.24972729381125
Arctic	StreamInsects	OTHCHIR	2.48861834954806
Arctic	StreamInsects	RHYAC	1.62368982536068
Arctic	StreamInsects	TIPULA	2.41336344314419
Baltimore	Mosquitoes	aeae	-2.87624084153138
Baltimore	Mosquitoes	aeal	3.19926780845788
Baltimore	Mosquitoes	aeci	-2.79508497185369
Baltimore	Mosquitoes	aeja	-0.601363505139941
Baltimore	Mosquitoes	anpu	-2.79508497187054
Baltimore	Mosquitoes	cxpi	2.49550311937135
Baltimore	Mosquitoes	cxre	0.377829765902148
Baltimore	Mosquitoes	cxsa	-0.813691953582214
Baltimore	Mosquitoes	cxte	0.135826050739291
Baltimore	Mosquitoes	octr	-2.63232302187853
Baltimore	Mosquitoes	orsi	-1.89333484751203
Baltimore	Mosquitoes	toxo	-1.15705776391065
BonanzaCreek	BarkBeetles	Ips beetle	-0.260310824871243
BonanzaCreek	BarkBeetles	Larch beetle	-1.11963375387938
BonanzaCreek	BarkBeetles	Spruce beetle	-1.84620084912789
BonanzaCreek	Leafminers	leafminers	-1.49149609763008
CedarCreek	Grasshoppers	Aeropedellus clavatus	-2.83740145344937
CedarCreek	Grasshoppers	Ageneotettix deorum	-2.84804410749371
CedarCreek	Grasshoppers	Arphia conspersa	-1.09936738973439
CedarCreek	Grasshoppers	Arphia pseudonietana	-1.41631862157703
CedarCreek	Grasshoppers	Atlanticus testaceus	1.63433125602605
CedarCreek	Grasshoppers	Chloealtis conspersa	-1.81302460664192
CedarCreek	Grasshoppers	Chorthippus curtipennis	-0.413024697950214
