LTER,Dataset,Locale,Species,Abundance.trend
CedarCreek,Grasshoppers,4,Aeropedellus clavatus,-0.769165626040316
CedarCreek,Grasshoppers,5,Aeropedellus clavatus,-1.46888723188287
CedarCreek,Grasshoppers,21,Aeropedellus clavatus,-1.46836384687348
CedarCreek,Grasshoppers,24,Aeropedellus clavatus,-1.99176008211782
CedarCreek,Grasshoppers,26,Aeropedellus clavatus,0.245422932577155
CedarCreek,Grasshoppers,27,Aeropedellus clavatus,-1.69593370122665
CedarCreek,Grasshoppers,32,Aeropedellus clavatus,-2.11766552063438
CedarCreek,Grasshoppers,35,Aeropedellus clavatus,-1.58596229855261
CedarCreek,Grasshoppers,40,Aeropedellus clavatus,-0.697521838055427
CedarCreek,Grasshoppers,41,Aeropedellus clavatus,-1.26775881577812
CedarCreek,Grasshoppers,44,Aeropedellus clavatus,-0.838702256356367
CedarCreek,Grasshoppers,45,Aeropedellus clavatus,-1.13549089966168
CedarCreek,Grasshoppers,47,Aeropedellus clavatus,-1.10038414247008
CedarCreek,Grasshoppers,53,Aeropedellus clavatus,-2.40024702617135
CedarCreek,Grasshoppers,70,Aeropedellus clavatus,-5.81099351433638
CedarCreek,Grasshoppers,72,Aeropedellus clavatus,1.14995642469227
CedarCreek,Grasshoppers,76,Aeropedellus clavatus,-1.92526749500189
CedarCreek,Grasshoppers,77,Aeropedellus clavatus,-3.15890665098425
CedarCreek,Grasshoppers,4,Ageneotettix deorum,-0.658138384363916
CedarCreek,Grasshoppers,5,Ageneotettix deorum,-0.678001664103053
CedarCreek,Grasshoppers,21,Ageneotettix deorum,-1.97880458780716
CedarCreek,Grasshoppers,24,Ageneotettix deorum,-1.42215240120623
CedarCreek,Grasshoppers,26,Ageneotettix deorum,-2.24229711418284
CedarCreek,Grasshoppers,27,Ageneotettix deorum,-2.57901777806264
CedarCreek,Grasshoppers,28,Ageneotettix deorum,-2.42652136564722e-10
CedarCreek,Grasshoppers,32,Ageneotettix deorum,-1.46300543278899
CedarCreek,Grasshoppers,35,Ageneotettix deorum,-1.72277071827603
